points_1	points_2	points_3	points_4	points_5	points_6	relevant	visits	analysis	stratum	weight
3	3	1	0	0	0	7	198	33	Bos	0.02478
4	6	2	1	0	1	14	428	33	Heide en duin	0.07329
4	10	2	2	2	0	20	774	33	Landbouw	0.71363
4	9	17	5	6	3	44	2068	33	Moeras en water	0.1883
4	9	11	14	21	19	78	4833	34	Bos	0.44933
1	9	4	5	2	2	23	1327	34	Heide en duin	0.16792
0	4	1	1	0	0	6	291	34	Landbouw	0.29858
1	2	0	1	0	0	4	117	34	Moeras en water	0.01791
3	3	1	0	1	0	8	226	34	Suburbaan	0.06627
1	18	15	20	8	5	67	3644	35	Bos	0.07937
1	7	10	11	4	4	37	2060	35	Heide en duin	0.05555
2	40	18	9	6	8	83	3794	35	Landbouw	0.84942
0	3	3	1	1	0	8	348	35	Moeras en water	0.00982
2	1	1	0	0	0	4	57	35	Suburbaan	0.00584
3	4	1	0	0	0	8	253	36	Bos	0.05241
4	3	3	0	0	0	10	263	36	Heide en duin	0.08302
1	5	3	0	1	0	10	301	36	Landbouw	0.56592
5	5	14	10	5	5	44	2111	36	Moeras en water	0.29865
2	1	0	1	0	0	4	154	37	Bos	0.00734
3	4	6	4	2	3	22	1008	37	Heide en duin	0.06826
5	7	13	6	4	5	40	1975	37	Landbouw	0.84594
1	4	3	9	3	3	23	1317	37	Moeras en water	0.05834
1	0	1	1	1	2	6	225	37	Suburbaan	0.02012
3	0	1	0	0	0	4	87	38	Heide en duin	0.09486
2	2	0	0	0	0	4	93	38	Landbouw	0.64662
1	3	3	1	2	0	10	469	38	Moeras en water	0.25851
3	14	10	7	5	6	45	2072	39	Bos	0.01253
1	9	11	11	4	8	44	2365	39	Heide en duin	0.01553
4	13	24	44	69	214	368	25086	39	Landbouw	0.8852
1	6	10	5	15	11	48	2899	39	Moeras en water	0.01385
0	2	9	4	10	19	44	2673	39	Suburbaan	0.02013
0	1	3	8	17	38	67	4617	39	Urbaan	0.05276
0	7	6	6	10	9	38	1644	40	Bos	0.03009
1	12	13	9	9	7	51	1843	40	Heide en duin	0.05118
2	19	31	34	28	14	128	4779	40	Landbouw	0.87551
