analysis	midpoint	window	estimate	lower_confidence_limit	upper_confidence_limit
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2014.5	6	-0.0265	-0.0387	-0.0144
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2015.5	6	-0.0222	-0.0347	-0.0097
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2016.5	6	-0.0153	-0.0277	-0.0029
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2017.5	6	-0.0053	-0.0179	0.0073
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2018.5	6	-0.0054	-0.0182	0.0074
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2019.5	6	-0.0104	-0.0236	0.0028
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2020.5	6	-0.019	-0.0333	-0.0048
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2012.5	12	-0.0106	-0.0161	-0.005
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2013.5	12	-0.0119	-0.0174	-0.0064
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2014.5	12	-0.0132	-0.0187	-0.0076
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2015.5	12	-0.015	-0.0207	-0.0094
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2016.5	12	-0.0157	-0.0216	-0.0099
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2017.5	12	-0.0165	-0.0227	-0.0104
a28c3e0a86e72290391aeee6d4cd4fbb8189ec5d	2015	17	-0.012	-0.016	-0.008
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2007.5	2	0.0261	-0.0039	0.0562
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2008.5	2	-0.0226	-0.0522	0.0071
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2009.5	2	-0.0385	-0.0704	-0.0065
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2010.5	2	-0.0564	-0.0909	-0.0218
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2011.5	2	-0.0147	-0.0512	0.0218
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2008.5	4	-0.0127	-0.0254	-1e-04
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2009.5	4	-0.039	-0.0529	-0.0252
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2010.5	4	-0.0385	-0.0546	-0.0223
a8c35af09973b4fb822f3bc8d98a9e50e385ccb5	2009.5	6	-0.0263	-0.036	-0.0165
b19c23046c219b08c536b0a34b9d51a497c2fa82	2007.5	2	0.0173	4e-04	0.0342
b19c23046c219b08c536b0a34b9d51a497c2fa82	2008.5	2	-0.0527	-0.0695	-0.0359
b19c23046c219b08c536b0a34b9d51a497c2fa82	2009.5	2	-0.0345	-0.0523	-0.0167
b19c23046c219b08c536b0a34b9d51a497c2fa82	2010.5	2	-0.028	-0.0464	-0.0095
b19c23046c219b08c536b0a34b9d51a497c2fa82	2011.5	2	-0.0266	-0.0471	-0.0062
b19c23046c219b08c536b0a34b9d51a497c2fa82	2008.5	4	-0.0262	-0.0329	-0.0195
b19c23046c219b08c536b0a34b9d51a497c2fa82	2009.5	4	-0.038	-0.0452	-0.0308
b19c23046c219b08c536b0a34b9d51a497c2fa82	2010.5	4	-0.0295	-0.038	-0.021
b19c23046c219b08c536b0a34b9d51a497c2fa82	2009.5	6	-0.0286	-0.0336	-0.0236
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2007.5	2	-0.0328	-0.07	0.0044
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2008.5	2	-0.1364	-0.1752	-0.0976
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2009.5	2	-0.0327	-0.0721	0.0067
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2010.5	2	-0.0141	-0.0539	0.0257
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2011.5	2	-0.116	-0.1643	-0.0676
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2008.5	4	-0.0742	-0.0882	-0.0602
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2009.5	4	-0.0582	-0.0724	-0.0441
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2010.5	4	-0.0503	-0.0678	-0.0327
ea1d7d9655298ce0c62dad29b883c1ca478dae67	2009.5	6	-0.0641	-0.0737	-0.0544
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2007.5	2	-0.0207	-0.0872	0.0458
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2008.5	2	-0.0149	-0.0785	0.0487
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2009.5	2	0.0581	-0.0032	0.1193
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2010.5	2	0.0033	-0.0567	0.0633
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2011.5	2	0.01	-0.0566	0.0766
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2008.5	4	0.0053	-0.02	0.0306
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2009.5	4	0.0198	-0.0046	0.0443
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2010.5	4	0.0219	-0.0055	0.0493
f5aebd43ff9b6e06d1e1e7ba7ebb028c1ddd091d	2009.5	6	0.0107	-0.0062	0.0277
